manufacturer,product,model_name,value_score,range_score,battery_score,price_efficiency_score,performance_score,metric_type,methodology_version,normalization_method,weight_configuration
Ola Electric,S1 X Gen 3 3 kWh,S1 X Gen 3 3 kWh,,34.08071748878923,12.048192771084336,,61.904761904761905,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 X Gen 3 4 kWh,S1 X Gen 3 4 kWh,,63.67713004484305,24.096385542168672,,69.52380952380952,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 X Plus Gen 3 4 kWh,S1 X Plus Gen 3 4 kWh,59.43302287811256,63.67713004484305,24.096385542168672,73.71443214982358,71.42857142857143,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ola Electric,S1 X Plus Gen 3 5.2 kWh,S1 X Plus Gen 3 5.2 kWh,82.88701249585144,98.65470852017937,38.554216867469876,100.0,71.42857142857143,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Revolt Motors,Revolt RV400,Revolt RV400,22.38507456037421,22.421524663677133,14.93975903614458,21.714051550697768,33.33333333333333,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Revolt Motors,Revolt RV400 BRZ,Revolt RV400 BRZ,23.99471769836935,22.421524663677133,14.93975903614458,28.15262410267832,33.33333333333333,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Simple Energy,Simple Dot One,Simple Dot One,26.35609583969142,22.869955156950674,20.481927710843372,21.018341510398468,52.38095238095239,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Simple Energy,Simple One,Simple One,43.311629342619725,50.224215246636774,36.14457831325301,32.54353889668622,52.38095238095239,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube 2.3 kWh,iQube 2.3 kWh,12.821278198348148,6.278026905829597,3.614457831325299,28.062989193290715,17.142857142857142,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube 3.1 kWh,iQube 3.1 kWh,17.984850823044482,10.31390134529148,13.253012048192772,26.549037215443068,30.476190476190478,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube 3.5 kWh,iQube 3.5 kWh,24.94425839741153,20.179372197309416,18.072289156626503,34.74649246293558,30.476190476190478,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube MillionR Edition,iQube MillionR Edition,24.359429172489776,20.179372197309416,18.072289156626503,32.40717556324855,30.476190476190478,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube S 4.7 kWh,iQube S 4.7 kWh,33.59931984321024,33.6322869955157,32.53012048192771,36.2758095087594,30.476190476190478,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
TVS Motor Company,iQube ST 5.3 kWh,iQube ST 5.3 kWh,43.11623699424591,50.224215246636774,39.75903614457831,42.01326038098789,30.476190476190478,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ultraviolette Automotive,Ultraviolette F77 Mach 2,Ultraviolette F77 Mach 2,47.19947052785131,49.775784753363226,61.44578313253011,0.0,100.0,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
Ultraviolette Automotive,Ultraviolette F77 Mach 2 Recon,Ultraviolette F77 Mach 2 Recon,76.4784421064176,100.0,100.0,5.913768425670406,100.0,derived,value-score-v1,min-max across verified catalog; price efficiency = 1 / (price_per_km),"{'range': 0.4, 'battery': 0.2, 'price_efficiency': 0.25, 'performance': 0.15}"
