year,month,year_month,state,state_code,e2w_registrations,total_2w_registrations,data_source,date,ev_penetration_pct,source_dataset,provenance_class,eligible_as_observed_analytics
2022,9,2022-09,Andhra Pradesh,AP,1625,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-09-01,2.0509,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,10,2022-10,Andhra Pradesh,AP,1938,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-10-01,2.05,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,11,2022-11,Andhra Pradesh,AP,1883,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-11-01,2.0504,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,12,2022-12,Andhra Pradesh,AP,1551,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-12-01,2.0508,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,1,2023-01,Andhra Pradesh,AP,1934,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-01-01,2.864,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,2,2023-02,Andhra Pradesh,AP,2011,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-02-01,2.8635,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,3,2023-03,Andhra Pradesh,AP,2449,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-03-01,2.8632,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,4,2023-04,Andhra Pradesh,AP,1856,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-04-01,2.863,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,5,2023-05,Andhra Pradesh,AP,1805,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-05-01,2.8639,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,6,2023-06,Andhra Pradesh,AP,1882,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-06-01,2.8634,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,7,2023-07,Andhra Pradesh,AP,1959,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-07-01,2.8629,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,8,2023-08,Andhra Pradesh,AP,2114,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-08-01,2.8633,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,9,2023-09,Andhra Pradesh,AP,2269,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-09-01,2.8637,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,10,2023-10,Andhra Pradesh,AP,2707,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-10-01,2.8634,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,11,2023-11,Andhra Pradesh,AP,2630,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-11-01,2.8638,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,12,2023-12,Andhra Pradesh,AP,2166,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-12-01,2.8639,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,1,2024-01,Andhra Pradesh,AP,2600,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-01-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,2,2024-02,Andhra Pradesh,AP,2704,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-02-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,3,2024-03,Andhra Pradesh,AP,3293,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-03-01,3.8499,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,4,2024-04,Andhra Pradesh,AP,2496,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-04-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,5,2024-05,Andhra Pradesh,AP,2426,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-05-01,3.8493,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,6,2024-06,Andhra Pradesh,AP,2530,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-06-01,3.8493,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,7,2024-07,Andhra Pradesh,AP,2634,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-07-01,3.8494,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,8,2024-08,Andhra Pradesh,AP,2842,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-08-01,3.8494,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,9,2024-09,Andhra Pradesh,AP,3050,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-09-01,3.8495,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,10,2024-10,Andhra Pradesh,AP,3640,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-10-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,11,2024-11,Andhra Pradesh,AP,3536,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-11-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,12,2024-12,Andhra Pradesh,AP,2912,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-12-01,3.8503,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,1,2025-01,Andhra Pradesh,AP,2530,67527,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-01-01,3.7466,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,2,2025-02,Andhra Pradesh,AP,2631,70228,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-02-01,3.7464,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,3,2025-03,Andhra Pradesh,AP,3205,85534,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-03-01,3.747,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,4,2025-04,Andhra Pradesh,AP,2429,64826,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-04-01,3.747,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,5,2025-05,Andhra Pradesh,AP,2361,63025,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-05-01,3.7461,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,6,2025-06,Andhra Pradesh,AP,2463,65726,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-06-01,3.7474,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,7,2025-07,Andhra Pradesh,AP,2564,68427,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-07-01,3.7471,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,8,2025-08,Andhra Pradesh,AP,2766,73830,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-08-01,3.7464,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,9,2025-09,Andhra Pradesh,AP,2969,79232,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-09-01,3.7472,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,10,2025-10,Andhra Pradesh,AP,3542,94538,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-10-01,3.7466,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,11,2025-11,Andhra Pradesh,AP,3441,91837,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-11-01,3.7469,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,12,2025-12,Andhra Pradesh,AP,2834,75630,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-12-01,3.7472,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,1,2020-01,Assam,AS,2,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-01-01,0.007,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,2,2020-02,Assam,AS,2,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-02-01,0.0067,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,3,2020-03,Assam,AS,3,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-03-01,0.0083,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,4,2020-04,Assam,AS,2,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-04-01,0.0073,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,5,2020-05,Assam,AS,2,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-05-01,0.0075,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,6,2020-06,Assam,AS,2,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-06-01,0.0072,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,7,2020-07,Assam,AS,2,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-07-01,0.0069,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,8,2020-08,Assam,AS,2,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-08-01,0.0064,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,9,2020-09,Assam,AS,2,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-09-01,0.006,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,10,2020-10,Assam,AS,3,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-10-01,0.0075,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,11,2020-11,Assam,AS,3,38776,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-11-01,0.0077,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2020,12,2020-12,Assam,AS,2,31933,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2020-12-01,0.0063,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,1,2021-01,Assam,AS,11,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-01-01,0.0386,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,2,2021-02,Assam,AS,11,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-02-01,0.0371,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,3,2021-03,Assam,AS,14,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-03-01,0.0388,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,4,2021-04,Assam,AS,10,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-04-01,0.0365,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,5,2021-05,Assam,AS,10,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-05-01,0.0376,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,6,2021-06,Assam,AS,10,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-06-01,0.036,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,7,2021-07,Assam,AS,11,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-07-01,0.0381,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,8,2021-08,Assam,AS,12,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-08-01,0.0385,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,9,2021-09,Assam,AS,13,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-09-01,0.0389,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,10,2021-10,Assam,AS,15,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-10-01,0.0376,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,11,2021-11,Assam,AS,15,38776,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-11-01,0.0387,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2021,12,2021-12,Assam,AS,12,31933,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2021-12-01,0.0376,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,1,2022-01,Assam,AS,46,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-01-01,0.1613,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,2,2022-02,Assam,AS,48,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-02-01,0.1619,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,3,2022-03,Assam,AS,58,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-03-01,0.1606,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,4,2022-04,Assam,AS,44,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-04-01,0.1608,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,5,2022-05,Assam,AS,43,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-05-01,0.1616,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,6,2022-06,Assam,AS,45,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-06-01,0.1622,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,7,2022-07,Assam,AS,47,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-07-01,0.1627,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,8,2022-08,Assam,AS,50,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-08-01,0.1604,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,9,2022-09,Assam,AS,54,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-09-01,0.1614,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,10,2022-10,Assam,AS,65,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-10-01,0.1628,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,11,2022-11,Assam,AS,63,38776,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-11-01,0.1625,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2022,12,2022-12,Assam,AS,52,31933,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2022-12-01,0.1628,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,1,2023-01,Assam,AS,64,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-01-01,0.2245,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,2,2023-02,Assam,AS,67,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-02-01,0.226,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,3,2023-03,Assam,AS,82,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-03-01,0.2271,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,4,2023-04,Assam,AS,62,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-04-01,0.2265,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,5,2023-05,Assam,AS,60,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-05-01,0.2255,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,6,2023-06,Assam,AS,63,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-06-01,0.227,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,7,2023-07,Assam,AS,65,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-07-01,0.225,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,8,2023-08,Assam,AS,70,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-08-01,0.2246,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,9,2023-09,Assam,AS,76,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-09-01,0.2272,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,10,2023-10,Assam,AS,90,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-10-01,0.2255,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,11,2023-11,Assam,AS,88,38776,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-11-01,0.2269,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2023,12,2023-12,Assam,AS,72,31933,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2023-12-01,0.2255,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,1,2024-01,Assam,AS,87,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-01-01,0.3051,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,2,2024-02,Assam,AS,90,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-02-01,0.3035,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,3,2024-03,Assam,AS,110,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-03-01,0.3046,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,4,2024-04,Assam,AS,83,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-04-01,0.3032,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,5,2024-05,Assam,AS,81,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-05-01,0.3044,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,6,2024-06,Assam,AS,84,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-06-01,0.3027,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,7,2024-07,Assam,AS,88,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-07-01,0.3046,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,8,2024-08,Assam,AS,95,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-08-01,0.3048,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,9,2024-09,Assam,AS,102,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-09-01,0.3049,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,10,2024-10,Assam,AS,121,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-10-01,0.3031,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,11,2024-11,Assam,AS,118,38776,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-11-01,0.3043,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2024,12,2024-12,Assam,AS,97,31933,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2024-12-01,0.3038,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,1,2025-01,Assam,AS,84,28511,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-01-01,0.2946,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,2,2025-02,Assam,AS,88,29652,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-02-01,0.2968,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,3,2025-03,Assam,AS,107,36114,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-03-01,0.2963,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,4,2025-04,Assam,AS,81,27371,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-04-01,0.2959,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,5,2025-05,Assam,AS,79,26611,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-05-01,0.2969,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,6,2025-06,Assam,AS,82,27751,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-06-01,0.2955,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,7,2025-07,Assam,AS,85,28892,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-07-01,0.2942,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,8,2025-08,Assam,AS,92,31172,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-08-01,0.2951,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,9,2025-09,Assam,AS,99,33453,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-09-01,0.2959,vahan_e2w_registrations_monthly.csv,generated_proxy,No
2025,10,2025-10,Assam,AS,118,39916,MoRTH Vahan 4.0 Dashboard (Official Registration Gazette Records),2025-10-01,0.2956,vahan_e2w_registrations_monthly.csv,generated_proxy,No
