product,manufacturer,price,battery_capacity_kwh,range_km,top_speed_kmh,price_per_km,price_per_kwh,price_percentile,price_quartile,product_price_rank,avg_market_price,mfg_avg_price,relative_price_position,price_premium_vs_market_pct
Revolt RV400 BRZ,Revolt Motors,124999.0,3.24,150.0,85.0,833.33,38579.94,0.45,2,19,136349.21,131499.5,below market average,-8.3
Simple Dot One,Simple Energy,140499.0,3.7,151.0,105.0,930.46,37972.7,0.79,4,8,136349.21,153249.5,above market average,3.0
Simple One,Simple Energy,166000.0,5.0,212.0,105.0,783.02,33200.0,0.91,4,4,136349.21,153249.5,above market average,21.7
iQube 2.3 kWh,TVS Motor Company,95124.0,2.3,114.0,68.0,834.42,41358.26,0.12,1,30,136349.21,116875.67,below market average,-30.2
iQube 3.1 kWh,TVS Motor Company,104962.0,3.1,123.0,82.0,853.35,33858.71,0.18,1,28,136349.21,116875.67,below market average,-23.0
iQube 3.5 kWh,TVS Motor Company,110200.0,3.5,145.0,82.0,760.0,31485.71,0.27,2,25,136349.21,116875.67,below market average,-19.2
iQube MillionR Edition,TVS Motor Company,113751.0,3.5,145.0,82.0,784.49,32500.29,0.3,2,24,136349.21,116875.67,below market average,-16.6
iQube S 4.7 kWh,TVS Motor Company,130340.0,4.7,175.0,82.0,744.8,27731.91,0.61,3,14,136349.21,116875.67,below market average,-4.4
iQube ST 5.3 kWh,TVS Motor Company,146877.0,5.3,212.0,82.0,692.82,27712.64,0.82,4,7,136349.21,116875.67,above market average,7.7
Ultraviolette F77 Mach 2,Ultraviolette Automotive,299000.0,7.1,211.0,155.0,1417.06,42112.68,0.97,4,2,136349.21,349000.0,above market average,119.3
Ultraviolette F77 Mach 2 Recon,Ultraviolette Automotive,399000.0,10.3,323.0,155.0,1235.29,38737.86,1.0,4,1,136349.21,349000.0,above market average,192.6
